site,date,item,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
古亭,2021/3/20,RH,77,79,80,82,80,80,81,80,72,65,66,66,60,57,57,56,62,71,78,82,83,81,82,82
古亭,2021/3/21,RH,83,83,83,81,79,78,75,75,74,74,75,74,75,72,71,72,73,76,80,80,79,76,70,69
古亭,2021/3/22,RH,64,67,77,83,84,85,88,88,88,87,84,83,85,87,88,87,89,89,87,82,76,72,68,69
古亭,2021/3/23,RH,68,69,69,70,69,68,67,66,69,69,67,64,62,61,62,62,63,64,63,64,63,61,64,71
古亭,2021/3/24,RH,79,88,90,90,92,93,93,93,93,93,92,91,90,82,78,74,75,75,77,80,82,83,83,85
古亭,2021/3/25,RH,85,84,83,83,85,85,85,83,79,75,72,68,65,64,62,69,75,79,80,81,81,84,85,85
古亭,2021/3/26,RH,86,86,85,85,87,87,87,83,75,70,62,60,58,55,54,55,64,65,67,67,69,71,72,75
古亭,2021/3/27,RH,78,80,80,82,84,83,84,83,80,70,58,50,46,45,45,48,51,55,59,64,68,71,78,81
古亭,2021/3/28,RH,81,81,83,84,84,85,83,79,73,62,57,56,63,68,67,72,70,70,72,75,79,83,85,85
古亭,2021/3/29,RH,84,84,84,82,83,86,87,84,81,76,68,61,56,55,55,57,61,66,71,72,72,73,77,77
古亭,2021/3/30,RH,77,76,78,81,82,83,83,79,74,66,61,64,63,69,73,74,74,73,74,80,84,86,84,82
古亭,2021/3/31,RH,82,83,84,89,89,87,87,86,80,72,63,70,73,71,70,72,74,77,79,80,81,79,79,83
古亭,2021/4/1,RH,84,84,85,85,85,85,84,83,81,76,68,64,60,57,66,68,69,71,74,77,78,80,80,80
古亭,2021/4/2,RH,82,83,83,82,79,77,76,75,72,67,61,54,55,58,59,64,68,70,73,75,78,80,81,81
古亭,2021/4/3,RH,81,82,81,81,80,81,81,83,80,74,67,63,56,56,61,65,66,68,74,81,82,83,83,84
古亭,2021/4/4,RH,84,83,84,84,83,81,82,83,82,81,76,75,75,73,75,75,73,74,74,74,73,71,70,66
古亭,2021/4/5,RH,63,60,62,63,64,63,61,56,52,48,43,44,45,47,47,51,55,59,63,67,69,70,71,72
古亭,2021/4/6,RH,73,74,75,75,75,75,74,70,62,59,58,57,54,55,55,54,54,59,66,68,69,70,71,72
古亭,2021/4/7,RH,72,73,74,74,74,75,73,66,58,52,51,52,51,52,53,55,58,61,64,66,68,69,71,74
古亭,2021/4/8,RH,75,76,77,77,77,76,73,70,65,64,66,67,71,75,75,75,78,81,80,86,81,80,84,87
古亭,2021/4/9,RH,88,89,88,87,88,88,87,87,85,85,85,83,83,80,82,80,81,81,81,81,81,83,82,85
古亭,2021/4/10,RH,85,85,84,84,86,88,88,87,86,85,84,81,80,81,78,78,80,81,81,82,85,87,86,87
古亭,2021/4/11,RH,89,89,88,85,83,83,85,81,76,67,60,55,53,50,48,50,53,57,61,63,65,68,72,78
古亭,2021/4/12,RH,82,84,85,86,86,86,86,82,76,69,61,53,50,52,51,61,56,53,56,62,71,74,76,79
古亭,2021/4/13,RH,80,81,82,83,84,83,82,75,68,60,52,50,56,59,67,74,79,80,80,80,82,83,84,85
古亭,2021/4/14,RH,86,84,83,83,82,83,82,83,82,80,79,77,76,77,78,77,77,79,81,83,85,86,85,84
古亭,2021/4/15,RH,85,85,84,85,84,83,87,86,85,81,74,74,74,74,75,76,80,80,80,81,82,83,84,85
古亭,2021/4/16,RH,87,87,86,87,87,87,86,85,81,76,70,67,66,64,63,65,69,73,77,80,82,83,83,84
古亭,2021/4/17,RH,84,86,86,85,85,84,81,82,83,79,69,53,46,47,47,53,55,55,62,64,68,71,71,71
古亭,2021/4/18,RH,67,65,63,65,69,70,69,65,57,54,51,49,49,48,49,49,51,53,53,53,53,54,56,58
古亭,2021/4/19,RH,59,60,60,61,62,62,62,62,60,54,50,51,62,65,66,67,69,69,68,68,66,63,62,63
古亭,2021/4/20,RH,62,63,65,66,65,66,66,61,52,45,42,41,41,42,44,49,52,55,57,58,60,60,61,62
