site,date,item,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
古亭,2021/3/21,PM2.5,6,4,3,5,6,6,6,6,4,12,15,16,9,17,26,34,34,35,34,26,26,32,29,27
古亭,2021/3/22,PM2.5,31,34,41,34,24,27,28,33,30,24,26,28,22,25,22,18,19,19,18,14,14,15,12,11
古亭,2021/3/23,PM2.5,11,13,10,11,9,11,11,15,11,11,12,9,9,7,6,8,5,8,8,7,6,6,5,12
古亭,2021/3/24,PM2.5,11,17,10,19,19,15,4,14,12,13,14,16,13,27,32,28,27,27,26,24,21,27,21,23
古亭,2021/3/25,PM2.5,21,15,17,21,18,23,17,22,20,20,7,16,13,12,12,15,17,21,21,20,15,11,11,10
古亭,2021/3/26,PM2.5,11,9,6,9,10,12,11,12,11,11,14,13,12,20,22,23,19,16,19,13,13,15,11,13
古亭,2021/3/27,PM2.5,13,9,10,8,10,15,16,31,52,56,40,20,18,25,23,22,25,26,28,40,28,26,27,24
古亭,2021/3/28,PM2.5,30,19,19,18,19,13,17,15,19,24,25,30,23,24,22,24,25,24,28,29,29,32,34,35
古亭,2021/3/29,PM2.5,38,35,34,34,33,38,32,35,39,42,45,46,44,51,45,45,37,32,37,35,49,57,53,54
古亭,2021/3/30,PM2.5,58,55,44,41,46,36,42,40,41,38,36,27,28,28,23,18,20,16,15,26,19,17,7,13
古亭,2021/3/31,PM2.5,17,16,15,15,10,10,7,16,25,20,25,21,28,33,26,32,34,31,39,40,36,37,36,36
古亭,2021/4/1,PM2.5,40,32,29,31,27,26,28,27,31,32,31,34,30,32,26,21,25,29,18,22,28,29,28,27
古亭,2021/4/2,PM2.5,27,24,23,30,18,28,30,26,27,39,37,46,45,28,31,30,30,40,39,41,40,27,31,35
古亭,2021/4/3,PM2.5,49,28,39,34,30,23,35,31,25,29,26,26,26,28,26,27,22,18,26,30,28,28,28,20
古亭,2021/4/4,PM2.5,9,23,31,32,26,25,30,34,23,18,11,17,17,14,11,14,13,20,18,21,18,14,18,19
古亭,2021/4/5,PM2.5,11,18,13,14,17,23,18,16,11,11,8,10,9,10,11,12,13,12,17,13,18,16,15,10
古亭,2021/4/6,PM2.5,14,17,7,8,11,12,13,12,7,8,10,7,8,11,12,11,11,11,12,9,17,10,8,10
古亭,2021/4/7,PM2.5,7,10,12,9,7,8,10,9,9,8,10,9,8,10,12,15,7,13,16,15,12,11,11,13
古亭,2021/4/8,PM2.5,14,13,8,10,11,8,11,15,11,13,23,19,20,6,5,11,8,6,8,11,9,6,7,5
古亭,2021/4/9,PM2.5,1,2,3,2,5,4,7,15,21,16,18,17,10,9,9,17,19,24,28,23,23,28,23,17
古亭,2021/4/10,PM2.5,14,12,11,11,10,9,11,8,4,6,5,5,5,7,8,10,10,11,6,5,8,11,10,6
古亭,2021/4/11,PM2.5,11,13,10,8,8,6,9,11,11,6,3,2,5,4,3,7,6,5,10,9,8,6,20,39
古亭,2021/4/12,PM2.5,49,32,32,31,20,21,25,30,34,34,34,30,29,24,24,24,29,16,20,27,23,23,20,21
古亭,2021/4/13,PM2.5,15,19,20,16,10,14,14,10,37,41,29,29,24,30,35,19,25,21,16,16,11,11,10,6
古亭,2021/4/14,PM2.5,8,7,3,7,9,6,7,10,8,5,6,5,2,3,3,5,6,15,3,6,5,6,6,5
古亭,2021/4/15,PM2.5,4,4,3,8,5,2,1,9,5,3,4,4,8,6,7,9,9,5,4,4,3,6,6,7
古亭,2021/4/16,PM2.5,7,8,9,7,5,2,1,3,12,10,6,4,13,18,16,14,10,15,17,17,12,11,8,11
古亭,2021/4/17,PM2.5,12,12,9,7,5,6,5,4,6,12,10,11,8,12,15,22,22,25,30,32,39,47,51,49
古亭,2021/4/18,PM2.5,37,33,42,52,66,68,70,66,52,32,19,25,26,23,21,22,16,21,23,17,18,14,11,10
古亭,2021/4/19,PM2.5,14,10,9,10,12,13,11,13,16,13,13,18,8,13,18,16,18,16,11,16,15,16,15,11
古亭,2021/4/20,PM2.5,16,16,13,12,9,8,16,13,11,7,10,11,8,8,11,15,16,24,25,25,23,18,17,17
古亭,2021/4/21,PM2.5,16,13,19,14,17,15,16,15,11,9,10,18,7,10,8,6,5,5,8,3,2,3,5,4
古亭,2021/4/22,PM2.5,13,7,4,4,1,1,2,1,2,2,2,2,3,3,7,9,7,6,10,8,10,9,12,13
古亭,2021/4/23,PM2.5,10,14,9,9,8,7,6,4,8,8,9,7,4,8,5,3,5,6,6,7,7,9,8,6
古亭,2021/4/24,PM2.5,8,7,5,9,6,8,7,6,7,8,8,10,10,9,11,11,15,11,18,13,8,8,13,11
古亭,2021/4/25,PM2.5,13,14,17,9,10,14,10,16,9,5,5,5,7,9,9,7,9,10,10,9,8,7,7,10
古亭,2021/4/26,PM2.5,7,3,3,6,6,8,8,11,14,14,15,9,5,8,9,8,9,10,12,13,11,8,10,10
古亭,2021/4/27,PM2.5,11,11,9,8,11,10,10,9,7,8,8,12,16,29,19,9,16,7,17,11,8,12,8,7
古亭,2021/4/28,PM2.5,9,13,10,10,10,14,13,17,13,12,12,19,13,10,13,16,16,11,9,10,11,18,13,17
古亭,2021/4/29,PM2.5,15,10,13,12,9,6,4,2,9,7,6,9,8,9,13,13,16,14,15,14,16,13,12,12
古亭,2021/4/30,PM2.5,16,10,12,10,13,13,12,9,7,11,16,18,17,26,23,17,20,19,35,34,28,26,22,20
古亭,2021/5/1,PM2.5,16,18,17,17,16,18,19,17,17,20,17,24,24,23,20,30,26,29,24,30,31,33,31,28
古亭,2021/5/2,PM2.5,32,22,17,21,17,20,15,20,21,17,19,14,17,18,19,14,12,14,12,13,11,8,9,12
古亭,2021/5/3,PM2.5,17,10,12,13,13,10,13,17,9,15,10,9,8,4,2,6,9,9,9,8,8,6,6,6
古亭,2021/5/4,PM2.5,10,8,3,0,1,13,17,16,17,11,14,20,22,30,29,28,19,14,25,29,12,9,6,8
古亭,2021/5/5,PM2.5,9,10,11,8,8,7,17,13,8,5,13,14,18,25,29,27,29,26,27,27,26,21,21,13
古亭,2021/5/6,PM2.5,14,16,16,7,19,11,19,18,22,27,23,24,23,23,22,23,28,30,29,33,33,28,26,24
古亭,2021/5/7,PM2.5,32,29,22,19,16,13,14,14,15,19,21,21,18,21,19,17,18,23,18,21,21,16,16,19
古亭,2021/5/8,PM2.5,18,15,16,20,22,23,18,20,20,22,18,14,19,12,11,11,19,14,9,14,14,17,9,19
古亭,2021/5/9,PM2.5,5,4,9,9,7,8,9,15,10,14,14,20,16,17,13,14,17,10,14,13,19,15,14,12
古亭,2021/5/10,PM2.5,25,10,13,12,14,14,14,13,19,18,22,18,14,21,20,21,22,26,20,18,14,11,16,17
古亭,2021/5/11,PM2.5,24,18,15,24,18,19,22,17,19,21,16,13,15,27,29,28,23,26,21,21,22,15,14,18
古亭,2021/5/12,PM2.5,17,18,15,18,14,11,18,17,14,12,10,11,16,18,19,19,19,16,14,12,15,13,18,8
古亭,2021/5/13,PM2.5,22,14,14,13,9,12,18,12,15,20,19,20,17,21,18,19,11,22,21,19,18,11,15,13
古亭,2021/5/14,PM2.5,11,17,10,14,18,19,11,13,13,19,24,33,25,25,17,21,31,26,22,23,17,13,21,19
古亭,2021/5/15,PM2.5,25,13,11,13,12,12,13,16,16,20,20,24,21,16,16,25,21,18,23,17,20,21,18,12
古亭,2021/5/16,PM2.5,11,16,9,12,12,9,11,13,20,15,10,8,21,21,13,11,17,19,18,19,19,8,16,11
古亭,2021/5/17,PM2.5,10,12,11,9,11,11,12,18,9,8,14,14,14,17,18,14,14,20,15,18,13,12,13,10
古亭,2021/5/18,PM2.5,12,14,15,15,16,9,12,12,15,16,17,21,18,22,21,5,14,12,15,11,11,16,16,9
古亭,2021/5/19,PM2.5,8,14,11,9,9,6,11,13,15,16,18,21,20,20,18,29,26,19,25,17,19,13,11,11
古亭,2021/5/20,PM2.5,9,6,10,12,7,5,6,5,10,11,14,15,16,22,23,20,4,10,13,16,16,19,16,17
古亭,2021/5/21,PM2.5,18,10,15,17,12,16,19,13,14,10,6,8,15,8,8,15,22,16,11,10,11,11,10,14
古亭,2021/5/22,PM2.5,14,12,13,10,14,13,11,16,14,12,10,7,13,14,13,16,14,13,11,9,15,11,10,11
古亭,2021/5/23,PM2.5,16,35,13,11,15,11,15,15,14,16,18,16,19,19,16,15,17,12,11,15,14,19,16,13
古亭,2021/5/24,PM2.5,14,13,15,16,15,12,19,13,12,10,14,13,15,13,12,8,6,5,12,11,9,10,6,7
古亭,2021/5/25,PM2.5,9,8,5,6,6,7,8,15,11,7,3,1,2,3,7,11,13,14,9,8,5,6,7,5
古亭,2021/5/26,PM2.5,4,7,7,8,6,6,5,14,19,15,22,20,21,22,30,14,12,7,3,5,7,10,10,10
古亭,2021/5/27,PM2.5,24,13,17,11,16,9,16,10,10,6,6,8,11,10,7,4,4,7,7,6,8,6,6,7
古亭,2021/5/28,PM2.5,10,7,11,11,12,12,11,12,10,12,9,12,9,8,6,9,15,10,14,7,5,8,14,9
古亭,2021/5/29,PM2.5,9,7,5,6,6,10,10,5,7,11,9,10,7,10,17,13,11,10,12,11,11,9,10,11
古亭,2021/5/30,PM2.5,8,8,5,7,8,9,8,7,6,6,12,7,6,6,5,3,1,2,2,0,2,5,5,4
古亭,2021/5/31,PM2.5,2,4,2,1,2,1,2,1,1,1,8,8,5,4,7,6,7,7,4,2,3,4,2,2
古亭,2021/6/1,PM2.5,5,4,3,2,0,4,4,1,0,1,4,4,10,20,9,10,11,7,4,5,6,9,16,5
古亭,2021/6/2,PM2.5,8,6,4,1,3,4,5,6,3,0,6,7,13,14,11,8,5,9,7,7,7,9,5,6
古亭,2021/6/3,PM2.5,6,4,6,7,6,5,4,6,7,12,10,7,8,7,15,24,22,21,19,18,15,4,5,6
古亭,2021/6/4,PM2.5,11,9,11,14,13,13,11,10,10,11,12,14,12,11,10,9,9,10,11,12,12,13,13,14
古亭,2021/6/5,PM2.5,10,6,2,1,0,3,7,7,6,3,0,4,11,8,4,2,1,2,2,5,7,5,1,0
古亭,2021/6/6,PM2.5,2,2,1,1,2,0,1,2,2,3,1,2,13,21,20,12,13,18,17,15,15,16,11,9
古亭,2021/6/7,PM2.5,16,6,7,9,8,7,8,11,11,10,15,16,17,18,15,15,21,21,15,15,14,31,25,19
古亭,2021/6/8,PM2.5,15,15,14,14,14,15,15,14,13,12,13,14,15,14,13,12,11,11,11,11,11,11,13,12
古亭,2021/6/9,PM2.5,13,14,9,9,4,5,9,12,15,11,11,16,15,17,12,7,4,5,5,5,3,3,7,6
古亭,2021/6/10,PM2.5,12,10,6,6,5,6,9,6,7,5,9,11,19,12,10,11,10,14,8,8,7,8,7,6
古亭,2021/6/11,PM2.5,4,3,3,5,4,7,6,7,5,6,7,11,12,17,12,12,11,14,10,6,4,2,1,7
古亭,2021/6/12,PM2.5,18,8,9,10,9,10,8,7,6,6,5,7,12,8,13,15,14,15,12,14,10,13,7,4
古亭,2021/6/13,PM2.5,8,6,6,11,8,9,7,6,4,5,7,8,8,8,10,8,10,9,8,17,11,10,18,13
古亭,2021/6/14,PM2.5,13,12,11,11,9,8,10,8,7,9,10,13,11,12,15,14,11,9,12,11,10,10,9,11
古亭,2021/6/15,PM2.5,21,10,8,10,7,6,9,8,7,4,3,11,10,9,8,7,7,8,6,10,11,16,16,8
古亭,2021/6/16,PM2.5,12,11,7,16,2,7,10,8,8,7,4,2,5,5,5,6,4,9,6,5,5,6,5,5
古亭,2021/6/17,PM2.5,11,9,6,6,5,7,7,12,10,7,6,6,6,12,10,16,12,14,13,8,13,13,11,9
古亭,2021/6/18,PM2.5,10,9,11,4,1,7,9,6,5,8,6,9,8,6,17,12,26,17,10,8,10,10,10,8
古亭,2021/6/19,PM2.5,21,8,10,7,8,10,9,7,10,7,4,5,6,8,6,4,8,6,9,15,9,7,7,4
古亭,2021/6/20,PM2.5,5,8,8,9,6,15,9,9,9,8,6,8,7,4,5,7,9,7,10,15,12,11,10,7
古亭,2021/6/21,PM2.5,15,8,8,45,8,11,9,10,7,9,6,6,6,6,15,13,10,11,11,12,11,9,9,11
古亭,2021/6/22,PM2.5,11,8,13,9,12,11,13,7,14,10,7,12,18,14,11,8,9,9,6,4,4,6,4,6
古亭,2021/6/23,PM2.5,6,7,7,6,6,8,5,5,8,9,8,8,9,10,12,9,5,6,9,5,3,3,6,6
古亭,2021/6/24,PM2.5,5,3,1,2,2,3,4,7,6,7,7,7,8,8,8,13,10,11,11,9,8,6,7,6
古亭,2021/6/25,PM2.5,11,7,7,6,7,11,8,6,8,7,9,9,10,10,12,8,11,16,14,11,15,13,12,8
古亭,2021/6/26,PM2.5,15,8,9,7,8,6,6,5,6,7,7,4,4,6,8,10,11,11,9,12,12,13,10,10
古亭,2021/6/27,PM2.5,18,10,9,7,8,9,12,11,7,4,5,6,9,13,11,7,5,8,7,5,6,7,5,9
古亭,2021/6/28,PM2.5,7,8,9,6,2,1,4,5,2,0,4,7,5,5,6,5,4,8,8,6,4,8,9,9
古亭,2021/6/29,PM2.5,16,8,8,7,6,5,5,5,7,7,7,7,5,4,11,7,8,6,9,7,5,6,9,10
古亭,2021/6/30,PM2.5,10,6,8,8,7,8,10,8,9,11,11,10,14,14,17,12,13,12,16,12,11,11,11,9
